word1,word2,word3,word4,category,difficulty
CONTRABASS,AUTOHARP,ROSEBUD,PEPPERONI,ENDING WITH BEER BRANDS,very_hard
NEUROPLASTIC,KUBRICK,HOURGLASS,HOLLYWOOD,ENDING WITH BUILDING MATERIALS,very_hard
LATIN,PLEAD,JARGON,ENVIRON,ENDING WITH CHEMICAL ELEMENTS,very_hard
MARIGOLD,EVERGREEN,INFRARED,QUICKSILVER,ENDING WITH COLORS,hard
DRUM AND BASS,WU-TANG,CAPE COD,CAMISOLE,ENDING WITH FISH,very_hard
FETA,PEPSI,BIOTA,MOCHI,ENDING WITH GREEK LETTERS,very_hard
PRUSSIAN,DISNEY,DECAF,CRYPTO,ENDING WITH HOMOPHONES OF PARTS OF THE LEG,very_hard
ICECAPS,MAKESHIFT,CANTAB,CYBERSPACE,ENDING WITH KEYBOARD KEYS,very_hard
SNICKERDOODLE,SHADOWBOXER,NEWSHOUND,TRENDSETTER,ENDING WITH KINDS OF DOGS,very_hard
RAINBOW,SEMBLANCE,CROSSWORD,GRIMACE,ENDING WITH MEDIEVAL WEAPONS,very_hard
CLASSICS,CREATE,GUTHRIE,THEREFORE,ENDING WITH NUMBER HOMOPHONES,very_hard
HAWKING,BOJACK,LOVELACE,MCQUEEN,ENDING WITH PLAYING CARDS,very_hard
RAPPORT,DEBUT,TAROT,BALLET,ENDING WITH SILENT “T”,medium
GOLDEN FLEECE,COMIC CON,AMERICAN HUSTLE,LUCKY STIFF,"ENDING WITH SYNONYMS FOR ""SWINDLE""",very_hard
SKYDIVE,WATERFALL,GATECRASH,RAINDROP,ENDING WITH SYNONYMS FOR “PLUNGE”,very_hard
DYNASTY,GIMMICK,ENGROSS,MILDEW,ENDING WITH SYNONYMS FOR “YUCK”,very_hard
WITHERSPOON,BOILERPLATE,JACKKNIFE,BUTTERCUP,ENDING WITH TABLEWARE,very_hard
BIGFOOT,COMPOUND,THERMOMETER,INSTAGRAM,ENDING WITH UNITS OF MEASURE,very_hard
SUPPORT,BACK,CHAMPION,SECOND,ENDORSE,easy
SPIRIT,VIGOR,JUICE,STEAM,ENERGY,medium
BATTERY,CHARGE,POWER,JUICE,ENERGY FOR AN ELECTRONIC DEVICE,hard
WRESTLING,BOWLING,ACUPUNCTURING,SEWING,ENGAGING IN AN ACTIVITY WITH PINS OR NEEDLES,hard
SALT,SEASON,FLAVOR,SPICE,ENHANCE THE TASTE OF,easy
APPRECIATE,RELISH,LOVE,SAVOR,ENJOY,easy
DIG,FANCY,LIKE,FANCY,ENJOY,easy
FEED,SUP,FEAST,DINE,ENJOY A MEAL,medium
BIG,GIANT,GREAT,HUGE,ENORMOUS,easy
GIANT,MAMMOTH,MONSTER,TITANIC,ENORMOUS,easy
BUMPER,GIANT,TITANIC,MONSTER,ENORMOUS,medium
LOCK,GUARANTEE,CINCH,ICE,"ENSURE, AS A VICTORY",hard
PASSION,RELISH,ZEST,GUSTO,ENTHUSIASM,easy
BUFF,LOVER,FAN,NUT,ENTHUSIAST,hard
CALL,APPEAL,BID,PETITION,ENTREATY,easy
GATE,DOOR,HATCH,PORTAL,ENTRYWAY,easy
OUTFIT,FURNISH,PROVISION,STOCK,EQUIP,easy
STUFF,GEAR,KIT,TACKLE,EQUIPMENT,easy
FAIR,EVEN,JUST,EQUAL,EQUITABLE,hard
WAVER,HEDGE,YO-YO,SEE-SAW,EQUIVOCATE,hard
PERIOD,AGE,TIME,DAY,ERA,hard
STUNT,EXPLOIT,CAPER,ANTIC,ESCAPADE,easy
REALLY,PRETTY,MIGHTY,VERY,ESPECIALLY,easy
LAUNCH,INSTITUTE,FOUND,START,ESTABLISH,medium
PIONEERS,LAUNCHES,INSTITUTES,BEGINS,ESTABLISHES,medium
WIND,GAS,STINKER,TOOT,EUPHEMISMS FOR FLATULENCE,medium
SOFA,ROE,PARS,MINK,EUROPEAN CAPITALS MINUS SECOND-TO-LAST LETTER,very_hard
POLAND,DENMARK,GREECE,PORTUGAL,EUROPEAN COUNTRIES,easy
SHAKE,DODGE,SHAKE,DUCK,EVADE,medium
LOSE,SKIRT,DODGE,ESCAPE,EVADE,medium
GRADE,GRADE,JUDGE,RATE,EVALUATE,easy
SCORE,RATE,REVIEW,RANK,EVALUATE,easy
HOP,RAVE,FORMAL,BALL,EVENT WITH DANCING,medium
COMMON,ROUTINE,REGULAR,STANDARD,EVERYDAY,medium
HAMMY,DRAMATIC,CAMP,OVERDONE,"EXAGGERATED, AS A PERFORMANCE",medium
CHECK,VET,REVIEW,SCREEN,"EXAMINE, AS AN APPLICANT",hard
FINE,QUALITY,STERLING,PRIME,EXCELLENT,medium
NEATO,NIFTY,ACES,KEEN,"EXCELLENT, IN OLD SLANG",medium
SINGULAR,UNIQUE,SPECIAL,REMARKABLE,EXCEPTIONAL,easy
EXTRACT,QUOTE,CLIP,PASSAGE,EXCERPT,medium
TOO,EXTRA,OVER,BEYOND,EXCESSIVELY,medium
PUMP,HYPE,FIRE,AMP,"EXCITE, WITH “UP”",very_hard
BRIDGE,CRUNCH,DIP,SQUAT,EXERCISES,easy
EFFORT,WORK,LABOR,SWEAT,EXERTION,medium
PACE,SWEAT,FIDGET,BLUSH,EXHIBIT NERVOUSNESS,medium
KICK,BUZZ,RUSH,THRILL,EXHILARATION,medium
WENT,DEPARTED,LEFT,SPLIT,EXITED,easy
JOURNEY,ODYSSEY,QUEST,VOYAGE,EXPEDITION,easy
RATE,PRICE,COST,CHARGE,EXPENDITURE,easy
BLANK,FORGET,FLAKE,SPACE,EXPERIENCE A MEMORY LAPSE,very_hard
PILOT,TRIAL,EXPLORATORY,PRELIMINARY,EXPERIMENTAL,medium
THUNDER,ROAR,BOOM,CRASH,EXPLOSIVE SOUND,easy
AIR,STATE,VOICE,SPEAK,EXPRESS,hard
IMPLY,COUCH,SUGGEST,INTIMATE,EXPRESS INDIRECTLY,hard
INANIMATE,BLANK,WOODEN,FLAT,EXPRESSIONLESS,easy
ERM,UM,UH,WELL,EXPRESSIONS OF HESITATION,very_hard
OUTSIDE,FACE,FRONT,SURFACE,EXTERIOR,medium
MASTODON,TRILOBITE,DODO,MAMMOTH,EXTINCT ANIMALS,easy
AWFUL,SUPER,VERY,QUITE,EXTREMELY,medium
REAL,BLOODY,WAY,AWFUL,EXTREMELY,very_hard
PUPIL,IRIS,LENS,RETINA,EYE PARTS,easy
FAIRY TALE,FANTASY,INVENTION,FICTION,FABRICATION,easy
CORDUROY,LINEN,TWEED,DENIM,FABRICS,easy
SHAM,BLUFF,SHOW,FRONT,FACADE,medium
NOSE,CHEEK,EYE,MOUTH,FACIAL FEATURES,easy
MUSTACHE,BEARD,STUBBLE,GOATEE,FACIAL HAIR,easy
MISS,SKIP,CUT,DITCH,FAIL TO ATTEND,medium
LOSE,BLOW,MISS,WASTE,"FAIL TO TAKE ADVANTAGE OF, AS AN OPPORTUNITY",very_hard
BOMB,DUD,LEMON,FLOP,FAILURE,medium
TURKEYS,FLOPS,BUSTS,MISSES,FAILURES,medium
WOLF,PRINCESS,WITCH,GIANT,FAIRY TALE FIGURES,easy
BUCKLE,GIVE,COLLAPSE,CAVE,FALL IN UNDER PRESSURE,medium
FORGE,FABRICATE,FAKE,FIX,FALSIFY,easy
POPPY,MUM,GRAMMY,DADA,FAMILIAL NICKNAMES,hard
CUZ,MUMMY,GRAMMY,POP,FAMILIAL NICKNAMES,medium
DADA,SISI,BROW,MOMA,FAMILY MEMBER NICKNAME PLUS A LETTER,very_hard
MARX,WARNER,WRIGHT,JONAS,FAMOUS BROTHERS,medium
PAGE,KING,BERRY,WATERS,FAMOUS GUITARISTS,hard
STAR,PERSONALITY,FIGURE,NAME,FAMOUS PERSON,easy
IF,HARLEM,DADDY,HOWL,FAMOUS POEMS,very_hard
LORDE,BISHOP,POPE,BURNS,FAMOUS POETS,hard
BUBBLES,KING KONG,GEORGE,KOKO,FAMOUS PRIMATES,very_hard
PUNCH,TRIUMPH,LAMB CHOP,OSCAR,FAMOUS PUPPETS,hard
BRIDGE TROLL,RIDDLER,MAD HATTER,SPHINX,FAMOUS RIDDLE-GIVERS,very_hard
MONA LISA,JOKER,CHESHIRE CAT,COMEDY MASK,FAMOUS SMILES,medium
RODEO,VINE,SUNSET,MULHOLLAND,FAMOUS STREETS IN LOS ANGELES,medium
FREE,THAT,PANTS,FEAST,FANCY ___,very_hard
FANCY,INVENTION,FIGMENT,FICTION,FANTASY,easy
TROLL,GIANT,PIXIE,DRAGON,FANTASY CREATURES,easy
STY,STABLE,PEN,COOP,FARM FIXTURES,medium
RAKE,PLOW,SICKLE,HOE,FARM TOOLS,easy
MARKET,ALMANAC,INSURANCE,TAN,FARMERS’ THINGS,very_hard
LINE,BRAND,LABEL,COLLECTION,FASHION DESIGNER'S OUTPUT,easy
GLAMOUR,W,ELLE,ALLURE,FASHION MAGAZINES,medium
HIP,IN,HOT,CHIC,FASHIONABLE,medium
OUTBACK,SUBWAY,CHECKERS,SONIC,FAST FOOD CHAINS,hard
MERMAID,KING,COLONEL,CLOWN,FAST FOOD MASCOTS,very_hard
FOOD,FORWARD,FASHION,FRIENDS,FAST ___,very_hard
RAPIDS,CURRENT,WHIRLPOOL,CATARACT,FAST-MOVING WATER,easy
CASCADE,WAVE,CURRENT,RAPID,FAST-MOVING WATER,hard
SNAP,CLIP,HOOK,BUCKLE,FASTENERS,medium
BUTTON,SNAP,BUCKLE,ZIP,FASTENING VERBS,easy
CAT,TUESDAY,CHANCE,LIP,FAT ___,very_hard
ARTIFICIAL,IMITATION,FAKE,MOCK,FAUX,easy
DOOR,CAR,GOAT,HOST,FEATURED IN THE MONTY HALL PROBLEM,very_hard
BOUNTY,SALOON,DUEL,COWBOY,FEATURED IN WESTERNS,medium
ELOISE,PLAZA,PUG,TURTLE,FEATURED IN “ELOISE”,very_hard
GIANT,JACK,COW,BEANS,FEATURED IN “JACK AND THE BEANSTALK”,hard
AMBER,DINOSAUR,MOSQUITO,PALEONTOLOGIST,FEATURED IN “JURASSIC PARK”,hard
QUEEN,BASHFUL,MIRROR,APPLE,FEATURED IN “SNOW WHITE”,hard
STRAP,HOLE,LOOP,BUCKLE,FEATURES OF A BELT,medium
RADIO,AIR CONDITIONER,CUP HOLDER,SHIFTER,FEATURES OF A CAR'S CENTER CONSOLE,medium
BOW,WINGS,DIAPER,ARROW,FEATURES OF A CARTOON CUPID,very_hard
MOGUL,LIFT,LODGE,SLOPE,FEATURES OF A SKI RESORT,medium
BLUBBER,FLUKE,MELON,FLIPPER,FEATURES OF A TOOTHED WHALE,hard
ROBE,BLINDFOLD,SCALES,SWORD,FEATURES OF JUSTICE PERSONIFIED,very_hard
PEG,NECK,BRIDGE,STRING,FEATURES OF STRINGED INSTRUMENTS,medium
CAPITOL,POOL,OBELISK,MALL,FEATURES OF THE NATIONAL MALL IN D.C.,hard
BUTTON,FLY,RIVET,POCKET,FEATURES ON A PAIR OF JEANS,easy
RUMMAGE,FISH,FUMBLE,ROOT,FEEL AROUND (FOR),hard
BITTER,SALTY,UPSET,SORE,FEELING SOME TYPE OF WAY,easy
COW,HEN,DOE,MARE,FEMALE ANIMALS,easy
JENNY,QUEEN,NANNY,VIXEN,FEMALE ANIMALS,hard
HEN,DOE,COW,EWE,FEMALE ANIMALS,medium
GLOVE,JACKET,MASK,FOIL,FENCING EQUIPMENT,hard
MASKS,FOILS,JACKETS,GLOVES,FENCING GEAR,very_hard
PORT,STOUT,CIDER,SAKE,FERMENTED ALCOHOLIC BEVERAGES,medium
SPECULATIVE,LITERARY,YOUNG ADULT,HISTORICAL,FICTION CATEGORIES,medium
ROMANCE,FANTASY,MYSTERY,HORROR,FICTION GENRES,medium
RONALD,JOKER,HOMEY,PENNYWISE,FICTIONAL CLOWNS,hard
ROBOT,BIG,TOAD,PEANUT,FICTIONAL MISTERS,very_hard
PORKY,NAPOLEON,PIGLET,BABE,FICTIONAL PIGS,very_hard
LUFFY,SILVER,SPARROW,HOOK,FICTIONAL PIRATES,hard
SPARROW,JONES,SILVER,HOOK,FICTIONAL PIRATES,very_hard
POWERS,HUNT,ARCHER,SMART,FICTIONAL SPIES,hard
BOND,RYAN,PEEL,HUNT,FICTIONAL SPIES,hard
FAWN,ELEPHANT,MOUSE,MARIONETTE,FIGURES IN CLASSIC DISNEY ANIMATED FILMS,very_hard
ATLAS,ECHO,PARIS,NIKE,FIGURES IN GREEK MYTH,hard
PAN,HELEN,ATLAS,HERMES,FIGURES IN GREEK MYTH,hard
DONKEY,DRAGON,OGRE,PRINCESS,FIGURES IN “SHREK”,hard
THREAD,STRAND,STRING,FIBER,FILAMENT,easy
MID,TIFF,ZIP,DOC,FILE EXTENSIONS,hard
GIF,ZIP,TIFF,PDF,FILE EXTENSIONS,medium
SAVE,PRINT,NEW,OPEN,FILE MENU OPTIONS,medium
STUFF,JAM,CRAM,PACK,FILL TO EXCESS,hard
WELL,LIKE,UM,LITERALLY,FILLER WORDS,medium
MAKEUP,PROPS,WARDROBE,HAIR,FILM DEPARTMENTS,hard
ACTION,LIGHTS,CAMERA,CUT,FILM SET DIRECTIVES,easy
DOLLY,LENS,TRIPOD,BOOM,FILMMAKING EQUIPMENT,hard
APR,IRA,CFO,SEC,FINANCIAL ABBREVIATIONS,hard
CAPITAL,EQUITY,INTEREST,STOCK,FINANCIAL TERMS,hard
LATHER,FROTH,FOAM,HEAD,FINE BUBBLES,hard
STRINGS,CONDITION,CATCH,ASTERISK,FINE PRINT,easy
CREAM,BEST,SELECT,ELITE,FINEST,easy
LITTLE,RING,MIDDLE,POINTER,FINGERS,medium
THROUGH,COMPLETE,DONE,OVER,FINISHED,easy
THROUGH,DONE,OVER,UP,"FINISHED, AS TIME",medium
POTTERY,CERAMICS,WARE,CHINA,FIRED OBJECTS,easy
DRESSING,TAPE,BANDAGE,SCISSORS,FIRST AID KIT ITEMS,hard
SPEECH,ASSEMBLY,PRESS,PETITION,FIRST AMENDMENT FREEDOMS,very_hard
INTRODUCTION,PREMIERE,DEBUT,LAUNCH,FIRST APPEARANCE,easy
LAUREL,FRY,ABBOTT,KEY,FIRST IN A COMEDY DUO,very_hard
CAB,DUKE,COUNT,DIZZY,FIRST NAMES IN JAZZ,very_hard
YOGI,LOU,BABE,MICKEY,FIRST NAMES OF YANKEES LEGENDS,very_hard
CASINO,TOMORROW,QUANTUM,DIAMONDS,FIRST WORD IN BOND MOVIE TITLES,very_hard
STAIRWAY,BABA,HOTEL,BOHEMIAN,FIRST WORDS IN '70S ROCK SONG TITLES,very_hard
NOTORIOUS,FOXY,GUCCI,KILLER,FIRST WORDS IN RAPPERS’ NAMES,very_hard
NOVA,NORTHWEST,BRITISH,PRINCE,FIRST WORDS OF CANADIAN PROVINCES/TERRITORIES,very_hard
BOARDWALK,CURB,SILICON,GAME,FIRST WORDS OF HBO SHOWS,very_hard
NATIONS,LADY,AID,RESPONDER,FIRST ___,easy
SOLE,MULLET,TANG,FLUKE,FISH,easy
CHAR,PIKE,SOLE,TETRA,FISH,hard
FLUKE,SKATE,BASS,PIKE,FISH,hard
TANG,PERCH,FLUKE,SKATE,FISH,hard
CHAR,PERCH,PIKE,SKATE,FISH,medium
PERCH,EEL,SHARK,SOLE,FISH,medium
SMELT,CARP,FLOUNDER,CATFISH,FISH THAT ARE VERBS,hard
TACKLE,LURE,REEL,ROD,FISHING GEAR,hard
SINKER,HOOK,FLY,LINE,FISHING GEAR,medium
FLY,CHUM,SINKER,BAIT,FISHING TERMS,hard
PUNCTURE,CRACK,LEAK,HOLE,FISSURE,easy
HEALTH,FORM,CONDITION,SHAPE,FITNESS,medium
RIGHT,FAIR,PROPER,JUST,FITTING,easy
STITCH,PATCH,DARN,MEND,FIX A HOLE IN CLOTHING,easy
SHOCK,ROCK,SURPRISE,FLOOR,FLABBERGAST,easy
SHAKE,ROCK,FLOOR,SHOCK,FLABBERGAST,medium
TASTING,PLATTER,FLIGHT,SAMPLER,FLAVOR ASSORTMENT,hard
ELASTIC,PLASTIC,SUPPLE,LIMBER,FLEXIBLE,medium
KIWI,OSTRICH,PENGUIN,EMU,FLIGHTLESS BIRDS,hard
JERK,STARTLE,BOLT,JUMP,FLINCH,medium
LAMINATE,TILE,CARPET,WOOD,FLOORING OPTIONS,easy
LEMON,TURKEY,BUST,MISS,FLOP,medium
STALK,BUD,PETAL,LEAF,FLOWER PARTS,medium
DAISY,TULIP,ROSE,VIOLET,FLOWERS,easy
JASMINE,PETUNIA,DAISY,POPPY,FLOWERS,medium
CLOUD,DANDELION,SHEEP,COTTON BALL,FLUFFY WHITE THINGS,easy
FAZE,THROW,RATTLE,RUFFLE,FLUSTER,easy
STEW,SWEAT,TIZZY,LATHER,FLUSTERED STATE,easy
FIRE EXTINGUISHER,SHAVING CREAM,SEA,BEER,FOAMY THINGS,medium
TRASH,DESKTOP,PICTURES,MUSIC,FOLDERS ON A MAC,medium
CHICKEN LITTLE,TOM THUMB,THUMBELINA,JACK,FOLKTALE CHARACTERS,hard
TAIL,TRAIL,TRACK,SHADOW,FOLLOW,medium
WIND,SNAKE,WEAVE,CURVE,FOLLOW A MEANDERING COURSE,medium
TRACK,MONITOR,SURVEY,WATCH,FOLLOW ATTENTIVELY,easy
TYPEWRITER,GOTHIC,ROMAN,SANS,FONT-MODIFYING WORDS,hard
VERDANA,IMPACT,ARIAL,GEORGIA,FONTS,hard
PAPYRUS,COURIER,IMPACT,TIMES,FONTS,very_hard
CHOW,GRUB,FARE,EATS,FOOD,easy
CHEESESTEAK,WINGS,BROIL,SPROUTS,FOOD NAMED AFTER CITIES,hard
CHEESE,CORN,SCHMALTZ,SAP,FOOD PRODUCTS ASSOCIATED WITH SENTIMENTALITY,medium
MELON,NOODLE,NUT,BEAN,FOOD SLANG FOR HEAD,hard
🧀,🥓,🍞,🥬,FOOD SLANG FOR MONEY,easy
PROCESSOR,FIGHT,CHAIN,PYRAMID,FOOD ___,very_hard
SALAD,SCRAMBLE,HASH,STEW,FOOD-RELATED JUMBLES,easy
TURNOVER,TART,PASTY,PIE,FOODS WITH CRUSTS,easy
MADNESS,NONSENSE,ABSURDITY,FOLLY,FOOLISHNESS,easy
ARCH,SOLE,TOE,BALL,FOOT PARTS,easy
CLEATS,PADS,JERSEY,HELMET,FOOTBALL GEAR,medium
GUARD,QUARTERBACK,CENTER,SAFETY,FOOTBALL POSITIONS,easy
SNEAKER,BOOT,PUMP,LOAFER,FOOTWEAR,easy
SNEAK,SLIP,WADE,LOAF,FOOTWEAR MINUS “ER” SOUND,very_hard
LOCKER,BALL,HILLS,PRINT,FOOT___,very_hard
EVERLASTING,ETERNAL,FOREVER,PERMANENT,FOR ALL TIME,easy
PROSCRIBED,VERBOTEN,TABOO,OFF-LIMITS,FORBIDDEN,medium
EJECT,BOOT,BOUNCE,REMOVE,FORCE TO LEAVE,medium
BRONCO,MUSTANG,PINTO,FIESTA,FORD MODELS,hard
INITIAL,ORIGINAL,PRIMARY,FIRST,FOREMOST,easy
PRINCIPAL,SUPREME,PREMIER,CHIEF,FOREMOST,easy
TOP,PRIME,HEAD,LEAD,FOREMOST,hard
MAIN,SUPREME,PRIME,PARAMOUNT,FOREMOST,medium
NUGGET,COIN,BAR,LEAF,FORMATS OF GOLD,medium
CUBE,POWDER,SYRUP,GRAIN,FORMS OF SUGAR,very_hard
OPEN,DIRECT,FRANK,STRAIGHT,FORTHRIGHT,hard
MARSALA,PORT,SHERRY,VERMOUTH,FORTIFIED WINES,medium
COURAGE,SPIRIT,HEART,BACKBONE,FORTITUDE,easy
SPIRIT,WILL,RESOLVE,GRIT,FORTITUDE,medium
POKER,FLUE,LOG,GRATE,FOUND AROUND A FIREPLACE,medium
TEA BAG,TETHERBALL,YO-YO,PENDULUM,FOUND AT THE END OF A STRING/CORD,medium
COUNTER,SINK,MIXER,RANGE,FOUND IN A KITCHEN,medium
CARAMEL,POPCORN,PRIZE,PEANUTS,FOUND IN CRACKER JACKS,hard
KEEL,HATCH,BRIDGE,DECK,FOUND ON A SHIP,hard
POT,PAN,KETTLE,GRIDDLE,FOUND ON A STOVE TOP,easy
STAFF,CLEF,NOTE,REST,FOUND ON SHEET MUSIC,easy
REST,STAFF,NOTE,ACCIDENTAL,FOUND ON SHEET MUSIC,hard
HOUND,HOLE,TROT,GLOVE,FOX___,very_hard
SAUSAGE,BANGER,LINK,BRAT,FRANKFURTER,easy
CON,FAKE,QUACK,CHEAT,FRAUDSTER,medium
PAIN,PAMPLEMOUSSE,VINAIGRETTE,CORNICHON,FRENCH FOOD WORDS,hard
PAIN,ADIEU,TEMPS,BELLE,FRENCH WORDS,very_hard
KISS,BULLDOG,FRY,HORN,FRENCH ___,very_hard
RING,STICK,WING,TENDER,"FRIED APPETIZER, INFORMALLY",very_hard
BUD,PAL,CHUM,MATE,FRIEND,easy
DATE,KIWI,ORANGE,LEMON,FRUIT,easy
CRISP,CRUMBLE,COBBLER,TART,FRUIT DESSERTS,easy
PAIR,LYME,BURY,MELLON,FRUIT HOMOPHONES,very_hard
PLUMB,PAIR,LEACHY,CURRENT,FRUIT HOMOPHONES,very_hard
APRICOT,GRAPE,LIME,FIG,FRUITS,easy
DOTE,LUMON,POACH,AMPLE,FRUITS WITH THEIR SECOND LETTERS CHANGED,very_hard
HOUSE,CIRCLE,MONTY,MOON,FULL ___,very_hard
BLAST,BALL,KICK,BALL,FUN TIME,medium
BLAST,THRILL,KICK,RIOT,FUN TIME,medium
PURSE,POOL,POT,KITTY,FUND,easy
STAPLE,ESSENTIAL,PRINCIPAL,KEY,FUNDAMENTAL,medium
FUNCTION,BALL,BENEFIT,GALA,FUNDRAISING EVENT,easy
LAUGH,JOKER,CARD,CLOWN,FUNNY PERSON,easy
RIOT,CHARACTER,LAUGH,JOKER,FUNNY PERSON,easy
CARD,CLOWN,CUTUP,JOKER,FUNNY PERSON,hard
BUSINESS,GIRL,PAGES,BONE,FUNNY ___,very_hard
EQUIP,READY,OUTFIT,PREPARE,FURNISH,medium
WARDROBE,CHEST,CONSOLE,VANITY,FURNITURE,hard
FORECAST,OUTLOOK,PROSPECT,CHANCE,FUTURE LIKELIHOOD,easy
REMOTE,VAGUE,FAINT,DIM,"FUZZY, AS A MEMORY",medium
BEER,PIZZA,DIP,WINGS,GAME DAY FARE,medium
BINGO,ROULETTE,LOTTERY,WAR,GAMES OF CHANCE,hard
TAG,BINGO,UNO,MARCO POLO,GAMES WHERE YOU SAY THE GAME’S NAME,very_hard
SEED,WEED,WATER,PLANT,GARDENING NOUNS/VERBS,easy
BREAD,GARLIC,BUTTER,PARSLEY,GARLIC BREAD INGREDIENTS,easy
DIESEL,REGULAR,PREMIUM,PLUS,GAS PUMP OPTIONS,hard
DIRT,SECRETS,INTELLIGENCE,INFORMATION,GATHERED BY SPIES,very_hard
DECK,PORCH,YARD,STOOP,GATHERING SPOT OUTSIDE A RESIDENCE,easy
RADIANT,BAGUETTE,PRINCESS,EMERALD,GEMSTONE CUTS,very_hard
LIGHT,MELLOW,MILD,SOFT,GENTLE,easy
VOLUMETRIC,ANGULAR,AREAL,LINEAR,GEOMETRY ADJECTIVES,very_hard
KINDER,DIE,WURST,ANGST,GERMAN WORDS,medium
MEND,KNIT,RECOVER,HEAL,"GET BETTER, AS A BROKEN BONE",easy
FIRE,PSYCH,AMP,HYPE,"GET EXCITED, WITH ""UP""",easy
SQUAT,DUCK,STOOP,CROUCH,GET LOW,medium
FLUSH,GLOW,BURN,BLUSH,GET RED IN THE FACE,easy
SHRINK,CONTRACT,REDUCE,LESSEN,GET SMALLER,easy
SPOONING,SNUGGLING,CUDDLING,HUGGING,GETTING COZY,easy
CARD,WRAPPING,BOX,BOW,GIFT-GIVING ACCESSORIES,easy
IDEA,MESSAGE,POINT,DRIFT,GIST,hard
SUBSTANCE,MEAT,THRUST,CORE,GIST,medium
DUB,CALL,NAME,LABEL,GIVE A TITLE TO,easy
COAST,FLOAT,COAST,BREEZE,GLIDE,easy
DRIFT,FLOAT,SKATE,CRUISE,GLIDE,easy
TOUCH,HINT,TRACE,SUGGESTION,GLIMMER,easy
PEEP,GLANCE,LOOK,GANDER,GLIMPSE,easy
DAZZLE,POMP,FLASH,RITZ,GLITZINESS,hard
SOL,REAL,DOLLAR,WON,GLOBAL CURRENCIES,hard
POUND,POUND,REAL,YEN,GLOBAL CURRENCIES,hard
YUAN,WON,POUND,STERLING,GLOBAL CURRENCIES,hard
SOUR,SPOIL,TURN,ROT,GO BAD,medium
SEE,WOO,DATE,COURT,GO OUT WITH,medium
CHALLENGE,CONFRONT,OPPOSE,FACE,GO UP AGAINST,medium
FIGURE,ROGUE,FIGURE,COMMANDO,GO ___,very_hard
FISH,STEADY,BANANAS,BANANAS,GO ___,very_hard
PUSH,EGG,URGE,SPUR,"GOAD, WITH ""ON""",easy
LEGEND,ICON,DIVA,QUEEN,GODDESS,easy
MINE,RUSH,BOND,LEAF,GOLD ___,very_hard
PARACHUTE,GIRLS,FLEECE,RULE,GOLDEN ___,very_hard
WOOD,IRON,WEDGE,PUTTER,GOLF CLUBS,medium
FAIRWAY,ROUGH,GREEN,BUNKER,GOLF COURSE PARTS,easy
DRIVER,EAGLE,STROKE,HOLE,GOLF TERMS,medium
RAISE,PROMOTION,BONUS,EQUITY,GOOD THINGS TO GET AT WORK,easy
LOAD,CARGO,HAUL,FREIGHT,GOODS TO BE TRANSPORTED,easy
DIRT,TALK,DISH,BUZZ,GOSSIP,easy
DISHING,WHISPERING,BUZZING,SPILLING,GOSSIPING,medium
HOLD,RIVET,ENGROSS,ABSORB,GRAB ONE’S ATTENTION,easy
SYRINGE,RULER,PROTRACTOR,BEAKER,GRADUATED INSTRUMENTS,medium
BARLEY,SPELT,OAT,RYE,GRAINS,easy
PRESENT,FUTURE,PAST,PERFECT,GRAMMAR TENSE TERMS,easy
PLAIN,MEADOW,PRAIRIE,SAVANNA,GRASSLAND,medium
PARK,LAWN,GREEN,YARD,GRASSY AREA,easy
FIELD,GREEN,LAWN,GROUNDS,GRASSY AREA,medium
SKIM,STROKE,KISS,BRUSH,GRAZE,medium
WITCHCRAFT,SUMMERTIME,AUTUMN LEAVES,UNFORGETTABLE,GREAT AMERICAN SONGBOOK SONGS,hard
LOAD,DROVE,SCORE,HOST,GREAT MANY,medium
WHITE,DANE,LAKE,SEAL,GREAT ___,very_hard
PI,MU,XI,NU,GREEK LETTERS,hard
BETA,IOTA,DELTA,CHI,GREEK LETTERS,medium
HERCULE,AJA,HER,ARE,GREEK MYTHOLOGICAL FIGURES MINUS A LETTER,very_hard
KILO,META,HYPER,NEO,GREEK PREFIXES,medium
CHIMICHURRI,RELISH,SALSA VERDE,PESTO,GREEN CONDIMENTS,medium
BERET,GOBLIN,THUMB,SALAD,GREEN ___,medium
HUG,HIGH FIVE,WAVE,SHAKE,GREETING GESTURES,hard
GAS,WOOD,ELECTRIC,CHARCOAL,GRILL FUEL SOURCES,medium
PRODUCE,FROZEN,SNACK,DAIRY,GROCERY STORE AISLES,hard
ORIGINAL,DIFFERENT,NEW,NOVEL,GROUNDBREAKING,medium
BOARD,PANEL,CABINET,COUNCIL,GROUP OF ADVISORS,medium
COMPOUND,DEVELOPMENT,BLOCK,COMPLEX,GROUP OF BUILDINGS,very_hard
BROOD,CLUTCH,LITTER,HATCH,GROUP OF OFFSPRING,hard
SIDE,WING,DIVISION,FACTION,GROUP WITHIN A GROUP,hard
CAMP,CAMP,WING,PARTY,GROUP WITHIN A GROUP,hard
FINGERS,COMMANDMENTS,BOWLING PINS,DECADE,GROUPS OF TEN,easy
USHER,PILOT,SHEPHERD,STEER,GUIDE,medium
BRIDGE,NECK,FRET,BODY,GUITAR PARTS,very_hard
SLIDE,STRUM,BEND,PICK,GUITAR PLAYING TECHNIQUES,hard
