Word,Category,Difficulty
SPIRAL,WRAP AROUND IN A CIRCLE,2
BANK,PARTS OF A RIVER,0
WIND,WRAP AROUND IN A CIRCLE,2
VAULT,JUMP INTO THE AIR,3
MOUTH,PARTS OF A RIVER,0
SNAP,SOMETHING EASY TO DO,1
LEAP,JUMP INTO THE AIR,3
BED,PARTS OF A RIVER,0
TWIST,WRAP AROUND IN A CIRCLE,2
CINCH,SOMETHING EASY TO DO,1
PICNIC,SOMETHING EASY TO DO,1
COIL,WRAP AROUND IN A CIRCLE,2
BOUND,JUMP INTO THE AIR,3
DELTA,PARTS OF A RIVER,0
SILK,LUXURIOUS FABRICS,0
BLOW,THINGS THAT ARE DELIVERED,3
LACE,SHOE PARTS,2
LAND,COME DOWN TO REST,1
SOLE,SHOE PARTS,2
BABY,THINGS THAT ARE DELIVERED,3
VELVET,LUXURIOUS FABRICS,0
TONGUE,SHOE PARTS,2
PERCH,COME DOWN TO REST,1
PACKAGE,THINGS THAT ARE DELIVERED,3
SETTLE,COME DOWN TO REST,1
SPEECH,THINGS THAT ARE DELIVERED,3
SATIN,LUXURIOUS FABRICS,0
EYELET,SHOE PARTS,2
ROOST,COME DOWN TO REST,1
CHIFFON,LUXURIOUS FABRICS,0
BALL,PINBALL MACHINE COMPONENTS,2
TAIL,FOLLOW,1
CLOUD,MURKY CONDITION,0
FIN,___LAND,3
SHADOW,FOLLOW,1
ICE,___LAND,3
FLIPPER,PINBALL MACHINE COMPONENTS,2
FOG,MURKY CONDITION,0
BUMPER,PINBALL MACHINE COMPONENTS,2
TRACK,FOLLOW,1
HAZE,MURKY CONDITION,0
IRE,___LAND,3
GREEN,___LAND,3
PLUNGER,PINBALL MACHINE COMPONENTS,2
TRAIL,FOLLOW,1
MIST,MURKY CONDITION,0
TOUGH,”-OUGH” WORDS THAT DON’T RHYME,3
STOP,“I GIVE!”,1
ROUGH,GOLF COURSE PARTS,0
BLUE,INDECENT,2
GREEN,GOLF COURSE PARTS,0
DOUGH,”-OUGH” WORDS THAT DON’T RHYME,3
COARSE,INDECENT,2
ENOUGH,“I GIVE!”,1
COUGH,”-OUGH” WORDS THAT DON’T RHYME,3
UNCLE,“I GIVE!”,1
BOUGH,”-OUGH” WORDS THAT DON’T RHYME,3
BAWDY,INDECENT,2
BUNKER,GOLF COURSE PARTS,0
RISQUE,INDECENT,2
MERCY,“I GIVE!”,1
FAIRWAY,GOLF COURSE PARTS,0
SPOON,SILVER ___,3
BUG,PESTER,0
SCREEN,SILVER ___,3
FORK,SEPARATE,2
BOWL,SPORTS VENUES,1
PART,SEPARATE,2
HOUND,PESTER,0
FOX,SILVER ___,3
FIELD,SPORTS VENUES,1
BADGER,PESTER,0
SPLIT,SEPARATE,2
DOME,SPORTS VENUES,1
NAG,PESTER,0
LINING,SILVER ___,3
ARENA,SPORTS VENUES,1
DIVIDE,SEPARATE,2
SHARK,SWINDLER,3
MOTTO,NATIONAL SYMBOLS,2
CRAB,CURMUDGEON,0
SEAL,NATIONAL SYMBOLS,2
DUCK,GET LOW,1
QUACK,SWINDLER,3
FLAG,NATIONAL SYMBOLS,2
CRANK,CURMUDGEON,0
CROOK,SWINDLER,3
STOOP,GET LOW,1
GRUMP,CURMUDGEON,0
ANTHEM,NATIONAL SYMBOLS,2
CROUCH,GET LOW,1
GROUCH,CURMUDGEON,0
CHEAT,SWINDLER,3
SQUAT,GET LOW,1
PLOT,SCHEME,1
PLOP,ONOMATOPOEIA,3
PLOW,FARM TOOLS,0
PLOY,SCHEME,1
TICKLE,MAKE HAPPY,2
SICKLE,FARM TOOLS,0
TRICK,SCHEME,1
BANG,ONOMATOPOEIA,3
RUSE,SCHEME,1
AMUSE,MAKE HAPPY,2
SPLASH,ONOMATOPOEIA,3
RAKE,FARM TOOLS,0
PLEASE,MAKE HAPPY,2
THUD,ONOMATOPOEIA,3
HOE,FARM TOOLS,0
DELIGHT,MAKE HAPPY,2
PAGES,FUNNY ___,3
STICKS,USED TO BUILD A SNOWMAN,2
BANK,RESERVE FOR LATER,0
STONES,"BOLDNESS, FIGURATIVELY",1
COAL,USED TO BUILD A SNOWMAN,2
BONE,FUNNY ___,3
NERVE,"BOLDNESS, FIGURATIVELY",1
SAVE,RESERVE FOR LATER,0
GUTS,"BOLDNESS, FIGURATIVELY",1
CARROT,USED TO BUILD A SNOWMAN,2
STORE,RESERVE FOR LATER,0
BUSINESS,FUNNY ___,3
SNOW,USED TO BUILD A SNOWMAN,2
STASH,RESERVE FOR LATER,0
GIRL,FUNNY ___,3
GALL,"BOLDNESS, FIGURATIVELY",1
FIRST,PRIMARY,1
AMATEUR,___ HOUR,3
BROADWAY,AVENUES IN N.Y.C.,2
JIFFY,BRIEF MOMENT,0
HAPPY,___ HOUR,3
SECOND,BRIEF MOMENT,0
RUSH,___ HOUR,3
PARK,AVENUES IN N.Y.C.,2
CHIEF,PRIMARY,1
FIFTH,AVENUES IN N.Y.C.,2
FLASH,BRIEF MOMENT,0
PRINCIPAL,PRIMARY,1
MADISON,AVENUES IN N.Y.C.,2
WINK,BRIEF MOMENT,0
MAIN,PRIMARY,1
ELEVENTH,___ HOUR,3
DRAW,ATTRACTION,2
SKETCH,COMEDIAN’S OUTPUT,1
WATCH,ACCESSORIES,0
CHARM,ATTRACTION,2
TIE,ACCESSORIES,0
FREIGHT,TWO LETTERS + NUMBER,3
ROUTINE,COMEDIAN’S OUTPUT,1
BRACELET,ACCESSORIES,0
OFTEN,TWO LETTERS + NUMBER,3
CANINE,TWO LETTERS + NUMBER,3
BELT,ACCESSORIES,0
BIT,COMEDIAN’S OUTPUT,1
PULL,ATTRACTION,2
STONE,TWO LETTERS + NUMBER,3
JOKE,COMEDIAN’S OUTPUT,1
APPEAL,ATTRACTION,2
DINKY,WEE,2
ITCHY,CARTOON MICE,3
INDEX,BOOK SECTIONS,1
BUZZ,CONTACT VIA PHONE,0
PINKY,CARTOON MICE,3
RING,CONTACT VIA PHONE,0
SLIGHT,WEE,2
MINUTE,WEE,2
SPEEDY,CARTOON MICE,3
LITTLE,WEE,2
APPENDIX,BOOK SECTIONS,1
CALL,CONTACT VIA PHONE,0
CHAPTER,BOOK SECTIONS,1
DIAL,CONTACT VIA PHONE,0
JERRY,CARTOON MICE,3
PREFACE,BOOK SECTIONS,1
LEAD,SHEPHERD,1
HIDDEN,___ VALLEY,3
HAMPER,SEEN IN A LAUNDRY ROOM,0
MYSELF,WHAT “I” MIGHT MEAN,2
ONE,WHAT “I” MIGHT MEAN,2
IRON,SEEN IN A LAUNDRY ROOM,0
DIRECT,SHEPHERD,1
SILICON,___ VALLEY,3
IODINE,WHAT “I” MIGHT MEAN,2
UNCANNY,___ VALLEY,3
GUIDE,SHEPHERD,1
DRYER,SEEN IN A LAUNDRY ROOM,0
STEER,SHEPHERD,1
WASHER,SEEN IN A LAUNDRY ROOM,0
IOTA,WHAT “I” MIGHT MEAN,2
DEATH,___ VALLEY,3
ANGEL,CLASSIC HALLOWEEN COSTUMES,0
HAIR,ANIMAL HOMOPHONES,3
SPELL,INTERVAL OF TIME,2
COMB,BEE CREATIONS,1
WAIL,ANIMAL HOMOPHONES,3
WITCH,CLASSIC HALLOWEEN COSTUMES,0
WHILE,INTERVAL OF TIME,2
WAX,BEE CREATIONS,1
DEAR,ANIMAL HOMOPHONES,3
HONEY,BEE CREATIONS,1
CLOWN,CLASSIC HALLOWEEN COSTUMES,0
PERIOD,INTERVAL OF TIME,2
PIRATE,CLASSIC HALLOWEEN COSTUMES,0
HOARSE,ANIMAL HOMOPHONES,3
STRETCH,INTERVAL OF TIME,2
HIVE,BEE CREATIONS,1
CAR,MEANS OF TRANSPORTATION,0
GAME,WILLING TO PARTICIPATE,1
BLUE,___BERRY ,3
DASH,"LITTLE BIT, IN A RECIPE",2
STRAW,___BERRY ,3
SPLASH,"LITTLE BIT, IN A RECIPE",2
IN,WILLING TO PARTICIPATE,1
BOAT,MEANS OF TRANSPORTATION,0
DROP,"LITTLE BIT, IN A RECIPE",2
DOWN,WILLING TO PARTICIPATE,1
GOOSE,___BERRY ,3
ON BOARD,WILLING TO PARTICIPATE,1
PINCH,"LITTLE BIT, IN A RECIPE",2
TRAIN,MEANS OF TRANSPORTATION,0
RASP,___BERRY ,3
PLANE,MEANS OF TRANSPORTATION,0
CROWN,STATUE OF LIBERTY FEATURES,2
SOFT,GENTLE,0
DICE,THINGS TO BLOW ON FOR WISHES/LUCK,3
SHOULDER,CUTS OF PORK,1
CHOP,CUTS OF PORK,1
CANDLE,THINGS TO BLOW ON FOR WISHES/LUCK,3
ROBE,STATUE OF LIBERTY FEATURES,2
LIGHT,GENTLE,0
EYELASH,THINGS TO BLOW ON FOR WISHES/LUCK,3
TORCH,STATUE OF LIBERTY FEATURES,2
MELLOW,GENTLE,0
BELLY,CUTS OF PORK,1
MILD,GENTLE,0
HOCK,CUTS OF PORK,1
DANDELION,THINGS TO BLOW ON FOR WISHES/LUCK,3
TABLET,STATUE OF LIBERTY FEATURES,2
SANTA,SECRET ___,3
BABY,DARLING,0
ZIP,OOMPH,2
LINE,BASIC GEOMETRIC OBJECTS,1
LOVE,DARLING,0
SAUCE,SECRET ___,3
POINT,BASIC GEOMETRIC OBJECTS,1
ENERGY,OOMPH,2
BOO,DARLING,0
RAY,BASIC GEOMETRIC OBJECTS,1
JUICE,OOMPH,2
DEAR,DARLING,0
FIRE,OOMPH,2
CODE,SECRET ___,3
SEGMENT,BASIC GEOMETRIC OBJECTS,1
AGENT,SECRET ___,3
LEAF,PAPER IN A BOOK,1
THUMB,THINGS YOU CAN DO TO YOUR NOSE,3
DRIVE,ROAD NAMES,0
PAGE,PAPER IN A BOOK,1
STEM,RESTRAIN,2
PICK,THINGS YOU CAN DO TO YOUR NOSE,3
BLOW,THINGS YOU CAN DO TO YOUR NOSE,3
CHECK,RESTRAIN,2
STREET,ROAD NAMES,0
CURB,RESTRAIN,2
SHEET,PAPER IN A BOOK,1
ALLEY,ROAD NAMES,0
LIMIT,RESTRAIN,2
LANE,ROAD NAMES,0
HOLD,THINGS YOU CAN DO TO YOUR NOSE,3
FOLIO,PAPER IN A BOOK,1
MS,NAME PREFIXES,1
PAINT,ART MEDIUMS,2
GHOST,___ PEPPER,3
BELL,___ PEPPER,3
PASTEL,ART MEDIUMS,2
SIGN,INDICATION OF THINGS TO COME,0
BLACK,___ PEPPER,3
INK,ART MEDIUMS,2
REV,NAME PREFIXES,1
WARNING,INDICATION OF THINGS TO COME,0
MESSAGE,INDICATION OF THINGS TO COME,0
GEN,NAME PREFIXES,1
DR,___ PEPPER,3
PROF,NAME PREFIXES,1
CHARCOAL,ART MEDIUMS,2
OMEN,INDICATION OF THINGS TO COME,0
SWIFT,BIRDS,2
HOLIDAY,JAZZ LEGENDS,3
CARDINAL,BIRDS,2
HOOD,PARTS OF A CAR,0
ZIP,MOVE QUICKLY,1
MONK,JAZZ LEGENDS,3
TRUNK,PARTS OF A CAR,0
DASH,MOVE QUICKLY,1
PARKER,JAZZ LEGENDS,3
LARK,BIRDS,2
DART,MOVE QUICKLY,1
TIRE,PARTS OF A CAR,0
BOLT,MOVE QUICKLY,1
BUMPER,PARTS OF A CAR,0
JAY,BIRDS,2
HANCOCK,JAZZ LEGENDS,3
SAINT,___ GEORGE,3
BAD,"COOL, IN ’80S SLANG",1
BOY,___ GEORGE,3
POLO,SHIRTS,0
BY,___ GEORGE,3
FLY,"COOL, IN ’80S SLANG",1
TEE,SHIRTS,0
JAY,LETTER SPELLINGS,2
FRESH,"COOL, IN ’80S SLANG",1
CROP,SHIRTS,0
GEE,LETTER SPELLINGS,2
CURIOUS,___ GEORGE,3
BEE,LETTER SPELLINGS,2
RAD,"COOL, IN ’80S SLANG",1
EX,LETTER SPELLINGS,2
TANK,SHIRTS,0
PANDA,BLACK-AND-WHITE ANIMALS,0
BEAR,___ TRAP,3
SAND,___ TRAP,3
STRING,SEQUENCE,1
SPEED,___ TRAP,3
TRAIN,SEQUENCE,1
DESERT,HETERONYMS,2
WIND,HETERONYMS,2
ORCA,BLACK-AND-WHITE ANIMALS,0
DOVE,HETERONYMS,2
SKUNK,BLACK-AND-WHITE ANIMALS,0
BASS,HETERONYMS,2
TOURIST,___ TRAP,3
CHAIN,SEQUENCE,1
ZEBRA,BLACK-AND-WHITE ANIMALS,0
SERIES,SEQUENCE,1
COUNTDOWN,HAPPY NEW YEAR!,3
KISS,HAPPY NEW YEAR!,3
NICE,PLACES IN FRANCE,2
DETAIL,"SHARPNESS, AS OF AN IMAGE",1
BALL,HAPPY NEW YEAR!,3
CLUB,ORGANIZATION,0
RESOLUTION,"SHARPNESS, AS OF AN IMAGE",1
CHAMPAGNE,PLACES IN FRANCE,2
GROUP,ORGANIZATION,0
TOURS,PLACES IN FRANCE,2
FIREWORKS,HAPPY NEW YEAR!,3
PARTY,ORGANIZATION,0
DIJON,PLACES IN FRANCE,2
DEFINITION,"SHARPNESS, AS OF AN IMAGE",1
TEAM,ORGANIZATION,0
CLARITY,"SHARPNESS, AS OF AN IMAGE",1
WAY,W + VOWEL SOUND,3
WEED,GARDENING NOUNS/VERBS,0
WHEEL,"CLASSIC GAME SHOWS, FAMILIARLY",2
WEDGE,KINDS OF SALADS,1
WATER,GARDENING NOUNS/VERBS,0
WEE,W + VOWEL SOUND,3
GREEN,KINDS OF SALADS,1
FEUD,"CLASSIC GAME SHOWS, FAMILIARLY",2
WHY,W + VOWEL SOUND,3
PYRAMID,"CLASSIC GAME SHOWS, FAMILIARLY",2
SEED,GARDENING NOUNS/VERBS,0
GREEK,KINDS OF SALADS,1
MILLIONAIRE,"CLASSIC GAME SHOWS, FAMILIARLY",2
WHOA,W + VOWEL SOUND,3
CAESAR,KINDS OF SALADS,1
PLANT,GARDENING NOUNS/VERBS,0
WONDER,SMALL ___,3
BREAD,B.L.T. INGREDIENTS,0
WALK,BASEBALL STATS,2
TALK,SMALL ___,3
TOMATO,B.L.T. INGREDIENTS,0
JAM,OBSTRUCT,1
WORLD,SMALL ___,3
HIT,BASEBALL STATS,2
DOUBLE,BASEBALL STATS,2
BACON,B.L.T. INGREDIENTS,0
BLOCK,OBSTRUCT,1
FRY,SMALL ___,3
STOP,OBSTRUCT,1
RUN,BASEBALL STATS,2
LETTUCE,B.L.T. INGREDIENTS,0
CLOG,OBSTRUCT,1
TICK,"SELECT, AS A BOX ON A FORM",2
TIP,RAPPERS MINUS FIRST LETTER,3
TAP,HIDDEN LISTENING DEVICES,1
FLY,MOVE THROUGH THE AIR,0
CHECK,"SELECT, AS A BOX ON A FORM",2
40,RAPPERS MINUS FIRST LETTER,3
X,"SELECT, AS A BOX ON A FORM",2
PAIN,RAPPERS MINUS FIRST LETTER,3
BUG,HIDDEN LISTENING DEVICES,1
MARK,"SELECT, AS A BOX ON A FORM",2
GLIDE,MOVE THROUGH THE AIR,0
MIKE,HIDDEN LISTENING DEVICES,1
FLOAT,MOVE THROUGH THE AIR,0
COLE,RAPPERS MINUS FIRST LETTER,3
WIRE,HIDDEN LISTENING DEVICES,1
SOAR,MOVE THROUGH THE AIR,0
MATCH,DATING APP ACTIONS,1
BOX,GIFT-GIVING ACCESSORIES,0
CHARM,LUCKY ___,3
STRIKE,LUCKY ___,3
BOW,GIFT-GIVING ACCESSORIES,0
DUCK,LUCKY ___,3
SICK,"COOL, IN SLANG",2
SWIPE,DATING APP ACTIONS,1
FIRE,"COOL, IN SLANG",2
CARD,GIFT-GIVING ACCESSORIES,0
BLOCK,DATING APP ACTIONS,1
TIGHT,"COOL, IN SLANG",2
BREAK,LUCKY ___,3
MESSAGE,DATING APP ACTIONS,1
LIT,"COOL, IN SLANG",2
WRAPPING,GIFT-GIVING ACCESSORIES,0
KID,PLAYFULLY BOTHER,0
ADULT,WHAT “X” MIGHT MEAN,3
TOP,APEX,1
TEN,WHAT “X” MIGHT MEAN,3
MAX,APEX,1
TEASE,PLAYFULLY BOTHER,0
DOZEN,WORDS FOR SPECIFIC QUANTITIES,2
TIMES,WHAT “X” MIGHT MEAN,3
RIB,PLAYFULLY BOTHER,0
PAIR,WORDS FOR SPECIFIC QUANTITIES,2
PEAK,APEX,1
JOSH,PLAYFULLY BOTHER,0
GROSS,WORDS FOR SPECIFIC QUANTITIES,2
KISS,WHAT “X” MIGHT MEAN,3
SCORE,WORDS FOR SPECIFIC QUANTITIES,2
HEIGHT,APEX,1
DISCO,___ BALL,3
WAVE,MOVE BACK AND FORTH,1
CRYSTAL,___ BALL,3
BONE,THINGS TO PICK,2
SWING,MOVE BACK AND FORTH,1
LOCK,THINGS TO PICK,2
ROCK,MOVE BACK AND FORTH,1
AFRO,THINGS TO PICK,2
FUNK,STRONG SMELL,0
FIGHT,THINGS TO PICK,2
GUTTER,___ BALL,3
TANG,STRONG SMELL,0
MUSK,STRONG SMELL,0
SWAY,MOVE BACK AND FORTH,1
FOUL,___ BALL,3
ODOR,STRONG SMELL,0
META,TECH COMPANIES,0
PHYSICAL,KINDS OF EXAMS,1
WISDOM,___ TOOTH,3
BEAUTY,SOMETHING EXEMPLARY,2
PEACH,SOMETHING EXEMPLARY,2
BABY,___ TOOTH,3
APPLE,TECH COMPANIES,0
EYE,___ TOOTH,3
SWEET,___ TOOTH,3
BAR,KINDS OF EXAMS,1
GEM,SOMETHING EXEMPLARY,2
FINAL,KINDS OF EXAMS,1
ALPHABET,TECH COMPANIES,0
MARVEL,SOMETHING EXEMPLARY,2
ORAL,KINDS OF EXAMS,1
AMAZON,TECH COMPANIES,0
TRIANGLE,SHAPES OF CAPITAL GREEK LETTERS,3
BASKETBALL,THINGS THAT ARE ORANGE,0
CARROT,THINGS THAT ARE ORANGE,0
STICK,"LONG, SKINNY OBJECTS",1
CART,SEEN ON A GOLF COURSE,2
HORSESHOE,SHAPES OF CAPITAL GREEK LETTERS,3
POLE,"LONG, SKINNY OBJECTS",1
CLUB,SEEN ON A GOLF COURSE,2
PITCHFORK,SHAPES OF CAPITAL GREEK LETTERS,3
HOLE,SEEN ON A GOLF COURSE,2
CIRCLE,SHAPES OF CAPITAL GREEK LETTERS,3
GOLDFISH,THINGS THAT ARE ORANGE,0
STAFF,"LONG, SKINNY OBJECTS",1
PUMPKIN,THINGS THAT ARE ORANGE,0
ROD,"LONG, SKINNY OBJECTS",1
TEE,SEEN ON A GOLF COURSE,2
SPONGE,CLEANING SUPPLIES,0
SALT,"ELEMENTS OF COOKING,  PER SAMIN NOSRAT",1
SMOKE,THINGS THAT MAKE YOU SNEEZE,2
SHAFT,TITULAR FICTIONAL DETECTIVES,3
DUST,THINGS THAT MAKE YOU SNEEZE,2
MONK,TITULAR FICTIONAL DETECTIVES,3
BROOM,CLEANING SUPPLIES,0
HEAT,"ELEMENTS OF COOKING,  PER SAMIN NOSRAT",1
MAGNUM,TITULAR FICTIONAL DETECTIVES,3
FAT,"ELEMENTS OF COOKING,  PER SAMIN NOSRAT",1
POLLEN,THINGS THAT MAKE YOU SNEEZE,2
RAG,CLEANING SUPPLIES,0
ACID,"ELEMENTS OF COOKING,  PER SAMIN NOSRAT",1
MOP,CLEANING SUPPLIES,0
TRACY,TITULAR FICTIONAL DETECTIVES,3
PEPPER,THINGS THAT MAKE YOU SNEEZE,2
POKER,FOUND AROUND A FIREPLACE,1
DICE,THINGS SEEN AT A CASINO,2
CHARM,BIT OF MAGIC,0
MELT,WAYS TO PREPARE CHEESE,3
CHIPS,THINGS SEEN AT A CASINO,2
SPELL,BIT OF MAGIC,0
SLICE,WAYS TO PREPARE CHEESE,3
LOG,FOUND AROUND A FIREPLACE,1
GRATE,FOUND AROUND A FIREPLACE,1
CARDS,THINGS SEEN AT A CASINO,2
CURSE,BIT OF MAGIC,0
SHRED,WAYS TO PREPARE CHEESE,3
CRUMBLE,WAYS TO PREPARE CHEESE,3
HEX,BIT OF MAGIC,0
SLOTS,THINGS SEEN AT A CASINO,2
FLUE,FOUND AROUND A FIREPLACE,1
PERFECT,___ PITCH,3
PHAT,“PH” WORDS THAT ALSO WORK WITH “F”,2
LIQUID,STATES OF MATTER,0
ELEVATOR,___ PITCH,3
GREAT,ALL-TIMER,1
GAS,STATES OF MATTER,0
LEGEND,ALL-TIMER,1
FEVER,___ PITCH,3
SOLID,STATES OF MATTER,0
SALES,___ PITCH,3
PHILLY,“PH” WORDS THAT ALSO WORK WITH “F”,2
ICON,ALL-TIMER,1
PHEW,“PH” WORDS THAT ALSO WORK WITH “F”,2
HERO,ALL-TIMER,1
PLASMA,STATES OF MATTER,0
PHISH,“PH” WORDS THAT ALSO WORK WITH “F”,2
READ,COLOR HOMOPHONES,3
SHOCK,"PARTS OF A CAR, INFORMALLY",2
POINT,TOPIC OF DISCUSSION,0
WHEEL,"PARTS OF A CAR, INFORMALLY",2
SUBJECT,TOPIC OF DISCUSSION,0
BLEW,COLOR HOMOPHONES,3
DASH,"PARTS OF A CAR, INFORMALLY",2
STAGE,SECTION OF ONE’S LIFE,1
PERIOD,SECTION OF ONE’S LIFE,1
MATTER,TOPIC OF DISCUSSION,0
CHAPTER,SECTION OF ONE’S LIFE,1
ROWS,COLOR HOMOPHONES,3
TANK,"PARTS OF A CAR, INFORMALLY",2
ISSUE,TOPIC OF DISCUSSION,0
PHASE,SECTION OF ONE’S LIFE,1
CHORAL,COLOR HOMOPHONES,3
PUNT,POSTPONE,3
BADGE,CREDENTIALS FOR ENTRY,0
TACKLE,AMERICAN FOOTBALL POSITIONS,2
RUN,PRESIDE OVER,1
DIRECT,PRESIDE OVER,1
PASS,CREDENTIALS FOR ENTRY,0
END,AMERICAN FOOTBALL POSITIONS,2
TABLE,POSTPONE,3
TICKET,CREDENTIALS FOR ENTRY,0
STALL,POSTPONE,3
CHAIR,PRESIDE OVER,1
CENTER,AMERICAN FOOTBALL POSITIONS,2
LEAD,PRESIDE OVER,1
SAFETY,AMERICAN FOOTBALL POSITIONS,2
INVITE,CREDENTIALS FOR ENTRY,0
HOLD,POSTPONE,3
JACK,MALE ANIMALS,2
CHECK,THINGS TO PAY,0
TIGHT,"LEGWEAR, IN THE SINGULAR",3
ROB,THIEVE,1
JEAN,"LEGWEAR, IN THE SINGULAR",3
BUCK,MALE ANIMALS,2
BILL,THINGS TO PAY,0
SWIPE,THIEVE,1
TOM,MALE ANIMALS,2
TAB,THINGS TO PAY,0
SHORT,"LEGWEAR, IN THE SINGULAR",3
PINCH,THIEVE,1
STEAL,THIEVE,1
PANT,"LEGWEAR, IN THE SINGULAR",3
BULL,MALE ANIMALS,2
INVOICE,THINGS TO PAY,0
SOUP,PEA ___,3
SLATE,LIST OF CANDIDATES,0
CREAM,MEDICINE FORMATS,2
PAD,PROTECTIVE BARRIER,1
SYRUP,MEDICINE FORMATS,2
SHIELD,PROTECTIVE BARRIER,1
POD,PEA ___,3
TICKET,LIST OF CANDIDATES,0
BALLOT,LIST OF CANDIDATES,0
TABLET,MEDICINE FORMATS,2
COAT,PEA ___,3
CUSHION,PROTECTIVE BARRIER,1
CAPSULE,MEDICINE FORMATS,2
GREEN,PEA ___,3
BUFFER,PROTECTIVE BARRIER,1
ROSTER,LIST OF CANDIDATES,0
HELLO,WORDS SPELLED WITH AN UPSIDE-DOWN CALCULATOR,3
LIST,TILT TO ONE SIDE,2
TRICK,DECEIVE,0
WORD,INSIDE INFO,1
CANT,TILT TO ONE SIDE,2
FOOL,DECEIVE,0
SKINNY,INSIDE INFO,1
EGGSHELL,WORDS SPELLED WITH AN UPSIDE-DOWN CALCULATOR,3
LEAN,TILT TO ONE SIDE,2
CON,DECEIVE,0
GIGGLE,WORDS SPELLED WITH AN UPSIDE-DOWN CALCULATOR,3
SCOOP,INSIDE INFO,1
BOOB,WORDS SPELLED WITH AN UPSIDE-DOWN CALCULATOR,3
SLOPE,TILT TO ONE SIDE,2
DOPE,INSIDE INFO,1
DUPE,DECEIVE,0
BASE,CHEMISTRY TERMS,1
RANGE,DATA SET DATA,0
GROSS,RADIO HALL OF FAME MEMBERS,3
PRETTY,ADJECTIVE INTENSIFIERS,2
BOND,CHEMISTRY TERMS,1
RATHER,ADJECTIVE INTENSIFIERS,2
GLASS,RADIO HALL OF FAME MEMBERS,3
REAL,ADJECTIVE INTENSIFIERS,2
AWFUL,ADJECTIVE INTENSIFIERS,2
MODE,DATA SET DATA,0
STERN,RADIO HALL OF FAME MEMBERS,3
MEAN,DATA SET DATA,0
SOLUTION,CHEMISTRY TERMS,1
KING,RADIO HALL OF FAME MEMBERS,3
MEDIAN,DATA SET DATA,0
ELEMENT,CHEMISTRY TERMS,1
PRIME,FOREMOST,1
LOVE,___ LETTER,3
GREEN,COLORS IN BRAZIL’S FLAG,2
COVER,___ LETTER,3
PEACOCK,SHOW OFF,0
BLUE,COLORS IN BRAZIL’S FLAG,2
SUPREME,FOREMOST,1
POSTURE,SHOW OFF,0
WHITE,COLORS IN BRAZIL’S FLAG,2
PARAMOUNT,FOREMOST,1
SCARLET,___ LETTER,3
MAIN,FOREMOST,1
CHAIN,___ LETTER,3
GRANDSTAND,SHOW OFF,0
YELLOW,COLORS IN BRAZIL’S FLAG,2
STRUT,SHOW OFF,0
NUTS,SUNDAE TOPPINGS,0
PEPPERS,WORDS IN TONGUE TWISTERS,3
DESERT,LEAVE HIGH AND DRY,1
RATS,“PHOOEY!”,2
FUZZY,WORDS IN TONGUE TWISTERS,3
CHERRY,SUNDAE TOPPINGS,0
MAROON,LEAVE HIGH AND DRY,1
SEASHELLS,WORDS IN TONGUE TWISTERS,3
FUDGE,SUNDAE TOPPINGS,0
STRAND,LEAVE HIGH AND DRY,1
SHOOT,“PHOOEY!”,2
SPRINKLES,SUNDAE TOPPINGS,0
DARN,“PHOOEY!”,2
DITCH,LEAVE HIGH AND DRY,1
WOODCHUCK,WORDS IN TONGUE TWISTERS,3
CURSES,“PHOOEY!”,2
TALK,BABY ___,3
TAP,KINDS OF DANCE,2
TEAR,MOVE WITH SPEED,1
DROP,DECLINE,0
SHOWER,BABY ___,3
FLY,MOVE WITH SPEED,1
DIP,DECLINE,0
CARROT,BABY ___,3
SALSA,KINDS OF DANCE,2
SINK,DECLINE,0
MODERN,KINDS OF DANCE,2
BLAZE,MOVE WITH SPEED,1
SWING,KINDS OF DANCE,2
BOOM,BABY ___,3
RACE,MOVE WITH SPEED,1
FALL,DECLINE,0
HEAD,UNITS OF VEGETABLES,3
WING,PARTS OF AN AIRPLANE,2
CANDLE,THINGS MADE OF WAX,1
HOSE,RIP OFF,0
CRAYON,THINGS MADE OF WAX,1
CABIN,PARTS OF AN AIRPLANE,2
FLEECE,RIP OFF,0
NOSE,PARTS OF AN AIRPLANE,2
ENGINE,PARTS OF AN AIRPLANE,2
BULB,UNITS OF VEGETABLES,3
SEAL,THINGS MADE OF WAX,1
EAR,UNITS OF VEGETABLES,3
STALK,UNITS OF VEGETABLES,3
STIFF,RIP OFF,0
HONEYCOMB,THINGS MADE OF WAX,1
ROB,RIP OFF,0
CROWN,DENTAL TERMS,1
APPROVED,RUBBER STAMP WORDS,2
SCHOOL,___ YEAR,3
STAFF,SYMBOLIC RODS,0
VOID,RUBBER STAMP WORDS,2
SCEPTER,SYMBOLIC RODS,0
FILLING,DENTAL TERMS,1
GAP,___ YEAR,3
CAVITY,DENTAL TERMS,1
LIGHT,___ YEAR,3
PAID,RUBBER STAMP WORDS,2
WAND,SYMBOLIC RODS,0
LEAP,___ YEAR,3
PLAQUE,DENTAL TERMS,1
BATON,SYMBOLIC RODS,0
URGENT,RUBBER STAMP WORDS,2
PRIME,EXCELLENT,1
TIME,PASS THE ___,3
AT,SYMBOLS ABOVE NUMBERS ON A KEYBOARD,2
BAR,PASS THE ___,3
DEVISE,BRING INTO BEING,0
DOLLAR,SYMBOLS ABOVE NUMBERS ON A KEYBOARD,2
FINE,EXCELLENT,1
